policy,budget_fraction,budget_inr,expected_value,expected_cost,treatment_rate,capacity_aware,shadow_price_proxy,utilization
optimized,0.1,157.49999999999997,628.2613797735046,157.5,0.1,True,22.60103344116942,1.0000000000000002
optimized,0.25,393.7499999999999,1350.7859447952235,390.6,0.248,True,0.0,0.9920000000000003
optimized,0.5,787.4999999999998,2038.302910709346,787.4999999999995,0.5,True,1.391465711334149,0.9999999999999997
optimized,0.75,1181.2499999999995,2039.24723267012,800.4499999999996,0.5,True,0.0,0.6776296296296296
optimized,1.0,1574.9999999999995,2039.24723267012,800.4499999999996,0.5,True,0.0,0.5082222222222221
