margin_multiplier,capacity_fraction,optimized_expected_value_inr,random_expected_value_inr,incremental_value_vs_random_inr,optimized_contacts
0.75,0.2,944.2204333740336,346.10735499052646,598.1130783835072,85.0
0.75,0.28,1332.5773273750558,346.10735499052646,986.4699723845293,123.0
0.75,0.4,1481.709634217806,346.10735499052646,1135.6022792272797,125.0
1.0,0.2,1444.9600372582624,723.0431399873686,721.9168972708939,91.0
1.0,0.28,2038.302910709346,723.0431399873686,1315.2597707219775,125.0
1.0,0.4,2238.112845623741,723.0431399873686,1515.0697056363724,125.0
1.25,0.2,1952.5024926236151,1099.9789249842106,852.5235676394045,94.0
1.25,0.28,2744.753638386682,1099.9789249842106,1644.7747134024712,125.0
1.25,0.4,2994.5160570296766,1099.9789249842106,1894.537132045466,125.0
